Item_name,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (g),Sodium (Mg),Total Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g),Protein (g)
Limited Time Offers,,,,,,,,,,,,
Double Down Sandwich,950,63,14,0,210,2.38,"2,380",28,1,2,0,67
Spicy Double Down Sandwich,930,62,14,0,205,2.37,"2,370",28,1,2,0,68
Original Recipe Chicken,,,,,,0,,,,,,
Original RecipeÃ‚Â® Chicken Breast,390,21,4,0,120,0,,11,2,0,0,39
Original RecipeÃ‚Â® Chicken Drumstick,130,8,1.5,0,55,0.43,430,4,1,0,0,12
Original RecipeÃ‚Â® Chicken Thigh,280,19,4.5,0,100,0.91,910,8,1,0,0,19
Original RecipeÃ‚Â® Chicken Whole Wing,130,8,2,0,55,0.38,380,3,0,0,0,10
Extra Crispy Chicken,,,,,,0,,,,,,
Extra Crispy Chicken Breast,530,35,6,0,105,1.15,"1,150",18,0,0,0,35
Extra Crispy Chicken Breast,170,12,2,0,50,0.39,390,5,0,0,0,10
Extra Crispy Chicken Breast,330,23,4.5,0,100,0.7,700,9,0,0,0,22
Extra Crispy Chicken Breast,170,13,2,0,45,0.34,340,5,0,0,0,10
Kentucky Grilled Chicken,,,,,,0,,,,,,
Kentucky Grilled ChickenÃ‚Â® Breast,210,7,2,0,130,0.71,710,0,0,0,0,38
Kentucky Grilled ChickenÃ‚Â® Drumstick,80,4,1,0,55,0.22,220,0,0,0,0,11
Kentucky Grilled ChickenÃ‚Â® Thigh,150,9,3,0,90,0.42,420,0,0,0,0,17
Kentucky Grilled ChickenÃ‚Â® Whole Wing,70,3,1,0,45,0.18,180,0,0,0,0,9
Spicy Crispy Chicken Breast,350,20,3.5,0,100,1.1,"1,100",11,1,0,0,30
Spicy Crispy Chicken Drumstick,130,8,1.5,0,40,0.42,420,5,1,0,0,9
Spicy Crispy Chicken Thigh,270,20,3.5,0,65,0.72,720,10,1,0,0,13
Spicy Crispy Chicken Whole Wing,120,8,1.5,0,35,0.35,350,5,0,0,0,7
Extra CrispyÃ¢â€žÂ¢ Tender (each),140,7,1,0,25,0.32,320,8,0,0,0,10
Kentucky Fried Nuggets (1),35,1.5,0,0,15,0.14,140,1,0,0,0,3
Nashville Hot Spicy Crispy Chicken Breast,540,40,7,0,100,1.39,"1,390",14,2,1,0,31
Nashville Hot Spicy Crispy Chicken Breast,190,14,2.5,0,40,0.51,510,6,1,0,0,9
Nashville Hot Spicy Crispy Chicken Breast,390,32,6,0,65,0.9,900,12,2,1,0,13
Nashville Hot Spicy Crispy Chicken Breast,180,15,2.5,0,35,0.45,450,5,1,0,0,8
BBQ Baked Beans,190,1,0,0,0,0.65,650,34,7,15,0,11
Biscuit,180,8,4.5,0,0,0.52,520,22,1,1,0,4
Coleslaw,170,12,2,0,,0.18,180,14,4,10,0,1
Corn on the Cob,70,0.5,0,0,0,0,0,17,2,3,0,2
Green Beans,25,0,0,0,0,0.3,300,5,3,1,0,1
KFCÃ‚Â® Cornbread Muffin,210,9,1.5,0,35,0.24,240,28,,11,0,3
Macaroni & Cheese,140,6,1.5,0,,0.59,590,17,1,2,0,5
Macaroni Salad,140,8,1,0,15,0.29,290,14,0,9,0,1
Mashed Potatoes,110,3.5,0.5,0,0,0.33,330,17,1,0,0,2
Mashed Potatoes With Gravy,130,4.5,1,0,0,0.52,520,20,1,0,0,3
Potato Salad,340,28,4.5,0,25,0.29,290,19,2,3,0,2
Secret Recipe Fries,320,15,2,0,0,1.1,"1,100",41,3,0,0,5
Sweet Kernel Corn,70,0.5,0,0,0,0,0,16,2,2,0,2
BBQ Baked Beans (Family),830,5,1,0,0,2.81,"2,810",148,31,63,0,47
Coleslaw (Family),640,46,7,0,15,0.67,670,54,14,37,0,4
Corn on the Cob (Family),280,2,0,0,0,0.015,15,67,8,11,0,9
Green Beans (Family),80,0,0,0,0,0.93,930,15,9,3,0,4
Macaroni & Cheese (Family),540,23,6,0,10,2.22,"2,220",66,5,8,0,18
Macaroni Salad (Family),480,28,3.5,0,55,0.99,990,50,0,30,0,3
Mashed Potatoes (Family),460,15,3,0,0,1.41,"1,410",72,6,0,0,9
Mashed Potatoes With Gravy (Family),590,21,5,0,0,2.59,"2,590",88,6,1,0,12
Potato Salad (Family),900,98,16,0,80,1.01,"1,010",65,8,12,0,8
Secret Recipe Fries (Family),840,40,5,0,0,2.89,"2,890",108,9,0,0,13
Sweet Kernel Corn (Family),280,2.5,0,0,0,0.01,10,67,7,8,0,10
Sandwiches,,,,,,0,,,,,,
Chicken Littles,300,15,2.5,0,30,0.62,620,27,1,3,0,14
Classic Chicken Sandwich,650,35,4.5,0,90,1.26,"1,260",49,1,6,0,34
Crispy TwisterÃ‚Â®,630,34,7,0,70,1.26,"1,260",53,4,3,0,28
Spicy Chicken Sandwich,620,33,4,0,85,2.14,"2,140",49,1,6,0,34
Pot Pie and Bowls,,,,,,0,,,,,,
Chicken Pot Pie,720,41,25,0,80,1.75,"1,750",60,7,5,0,26
KFCÃ‚Â® Famous Bowl,590,23,5,0,85,2.16,"2,160",67,4,2,0,31
Desserts,,,,,,0,,,,,,
Apple Turnover,230,10,2.5,0,0,0.14,140,32,,12,0,2
CafÃƒÂ© Valley Chocolate Chip Cake (1 Slice),300,15,3,0,50,0.26,260,39,1,27,0,4
CafÃƒÂ© Valley Lemon Cake (1 Slice),220,10,2,0,30,0.17,170,30,0,20,0,2
CafÃƒÂ© Valley Mini Chocolate Chip Cake,300,12,2.5,0,40,0.19,190,49,1,35,0,3
CafÃƒÂ© Valley Mini Lemon Cake,300,13,2.5,0,50,0.23,230,43,0,31,0,3
Dipping Sauces & Condiments,,,,,,0,,,,,,
BBQ - Dipping Sauce Cup,45,0,0,0,0,0.15,150,11,0,11,0,0
Buffalo Ranch - Dipping Sauce Cup,120,13,2,0,10,0.29,290,2,0,1,0,1
Colonel's Buttery Spread,35,4,1.5,0,0,0.035,35,0,0,0,0,0
Grape Jelly Packet,35,0,0,0,0,0.01,10,9,0,7,0,0
Honey Mustard - Dipping Sauce Cup,110,9,1.5,0,,0.12,120,6,0,6,0,0
Honey Sauce Packet,30,0,0,0,0,0,0,8,0,5,0,0
Ketchup,30,0,0,0,0,0.25,250,8,0,6,0,0
KFC Sauce - Dipping Sauce Cup,90,8,1.5,0,10,0.17,170,5,0,5,0,0
Lemon Juice Packet,5,0,0,0,0,0.02,20,1,0,0,0,0
Ranch - Dipping Sauce Cup,130,14,2.5,0,10,0.24,240,2,0,1,0,0
Strawberry Jam Packet,35,0,0,0,0,0,0,9,0,6,0,0
Kids Meal,,,,,,0,,,,,,
Kentucky Fried Chicken Nuggets Kids Meal,170,8,1,0,65,0.69,690,7,0,0,0,17
Chocolate Milk 1%,150,2.5,1.5,0,10,0.17,170,26,0,23,0,7
Milk 1%,90,2,1.5,0,10,0.105,105,10,0,10,0,7
Beverages,,,,,,0,,,,,,
7UPÃ‚Â® (12 fl oz),140,0,0,0,0,0.05,50,35,0,35,0,0
7UPÃ‚Â® (16 fl oz),190,0,0,0,0,0.07,70,46,0,46,0,0
7UPÃ‚Â® (20 fl oz),240,0,0,0,0,0.085,85,58,0,58,0,0
7UPÃ‚Â® (30 fl oz),350,0,0,0,0,0.125,125,87,0,87,0,0
Classic Lemonade (1/2 Gallon),880,0,0,0,0,0.78,780,234,0,228,0,0
Classic Lemonade (20 fl oz),140,0,0,0,0,0.13,130,39,0,38,0,0
Code Red Mountain DewÃ‚Â® (12 fl oz),170,0,0,0,0,0.05,50,46,0,46,0,0
Code Red Mountain DewÃ‚Â® (16 fl oz),230,0,0,0,0,0.065,65,62,0,62,0,0
Code Red Mountain DewÃ‚Â® (20 fl oz),290,0,0,0,0,0.085,85,77,0,77,0,0
Code Red Mountain DewÃ‚Â® (30 fl oz),430,0,0,0,0,0.125,125,116,0,115,0,0
