Breakfast,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G)

"Chick-fil-A® Chicken Biscuit




							153g
						

							460
						

							23
						

							8
						

							0
						

							45
						

							1510
						

							45
						

							2
						

							6
						

							19
						






										Chick-fil-A® Chicken Biscuit
									


									153g
								

									460
								

									23
								

									8
								

									0
								

									45
								

									1510
								

									45
								

									2
								

									6
								

									19",Chick-fil-A® Chicken Biscuit,153g,460,23,8,0,45,1510,45,2,6
Chick-fil-A® Chicken Biscuit,153g,460,23,8,0,45,1510,45,2,6,19
Chick-fil-A® Chicken Biscuit,153g,460,23,8,0,45,1510,45,2,6,19
"Spicy Chicken Biscuit




							153g
						

							450
						

							22
						

							8
						

							0
						

							40
						

							1570
						

							44
						

							2
						

							5
						

							19
						






										Spicy Chicken Biscuit
									


									153g
								

									450
								

									22
								

									8
								

									0
								

									40
								

									1570
								

									44
								

									2
								

									5
								

									19",Spicy Chicken Biscuit,153g,450,22,8,0,40,1570,44,2,5
Spicy Chicken Biscuit,153g,450,22,8,0,40,1570,44,2,5,19
Spicy Chicken Biscuit,153g,450,22,8,0,40,1570,44,2,5,19
"Chick-fil-A Chick-n-Minis™




							127g
						

							360
						

							13
						

							4
						

							0
						

							60
						

							1060
						

							41
						

							2
						

							8
						

							20
						






										4 ct Chick-fil-A Chick-n-Minis™
									


									127g
								

									360
								

									13
								

									4
								

									0
								

									60
								

									1060
								

									41
								

									2
								

									8
								

									20
								




										10 ct Chick-fil-A Chick-n-Minis™
									


									318g
								

									910
								

									34
								

									10
								

									0
								

									150
								

									2640
								

									103
								

									6
								

									19
								

									49
								




										10 ct Chick-fil-A Chick-n-Minis™ Football-Shaped Tray
									


									318g
								

									910
								

									34
								

									10
								

									0
								

									150
								

									2640
								

									103
								

									6
								

									19
								

									49",Chick-fil-A Chick-n-Minis™,127g,360,13,4,0,60,1060,41,2,8
Chick-fil-A Chick-n-Minis™,127g,360,13,4,0,60,1060,41,2,8,20
4 ct Chick-fil-A Chick-n-Minis™,127g,360,13,4,0,60,1060,41,2,8,20
